ip,app,device,os,channel,click_time,is_attributed
298168,29,1,15,213,2017-11-09 05:45:18,1
45425,35,1,20,21,2017-11-07 02:28:16,1
83584,35,1,19,21,2017-11-07 14:29:43,1
94262,3,1,13,19,2017-11-07 02:23:09,0
4516,19,1562,29,213,2017-11-09 00:22:18,1
32372,9,1,13,466,2017-11-09 00:14:47,1
109278,14,1,22,379,2017-11-06 22:52:50,0
49963,3,1,19,113,2017-11-09 09:04:07,0
77626,18,3032,607,107,2017-11-06 23:57:59,0
283250,19,0,24,213,2017-11-08 00:40:08,1
61667,2,1,8,243,2017-11-07 00:03:57,0
8994,35,1,19,274,2017-11-07 01:11:49,1
1437,14,1,19,401,2017-11-09 10:51:13,1
338377,45,1,20,5,2017-11-09 07:04:55,1
317960,19,0,0,347,2017-11-09 09:48:30,1
17386,3,1,13,205,2017-11-07 08:13:54,1
83614,29,1,25,343,2017-11-09 02:28:54,1
287190,66,1,25,101,2017-11-08 02:57:41,1
93042,19,67,24,213,2017-11-08 07:13:15,1
93084,27,1,13,122,2017-11-07 15:23:48,0
38504,35,1,19,21,2017-11-07 02:53:56,1
41082,107,1,25,171,2017-11-08 13:21:43,1
84896,21,1,9,128,2017-11-07 03:19:03,0
269884,84,0,748,101,2017-11-08 06:48:50,0
39075,3,1,10,135,2017-11-08 07:28:02,0
283194,15,1,17,386,2017-11-08 00:17:03,0
194193,35,1,19,21,2017-11-09 00:01:10,1
144803,3,1,19,115,2017-11-08 14:00:12,0
174592,3,1,19,280,2017-11-07 07:07:06,0
48676,20,1,19,259,2017-11-06 23:29:37,1
320013,14,1,6,379,2017-11-08 17:20:10,1
139775,19,0,0,213,2017-11-07 18:25:03,1
77183,15,1,13,245,2017-11-08 03:42:09,0
68822,9,1,19,127,2017-11-08 22:32:52,0
295583,10,1,9,101,2017-11-09 02:21:04,1
28046,35,1,13,21,2017-11-07 03:32:32,1
11505,9,1,19,466,2017-11-08 13:57:10,0
738,19,0,24,210,2017-11-09 15:32:50,1
53964,9,1,13,127,2017-11-09 11:25:35,0
349709,19,0,0,213,2017-11-09 14:50:19,1
45892,3,1,18,317,2017-11-08 08:46:14,0
341648,29,1,9,213,2017-11-09 14:25:59,1
41866,9,1,9,127,2017-11-08 13:40:09,0
33977,9,1,13,232,2017-11-08 04:34:46,0
104622,12,1,13,259,2017-11-07 08:55:46,0
37351,11,1,19,469,2017-11-09 07:25:42,0
196485,19,0,0,213,2017-11-08 08:55:29,1
40834,19,25,24,213,2017-11-08 02:53:55,1
253378,66,1,19,101,2017-11-08 00:27:15,1
230140,3,1,13,130,2017-11-08 04:35:41,0
1634,35,1,22,21,2017-11-09 03:07:56,1
82780,3,1,17,280,2017-11-07 13:26:52,0
208860,2,1,13,435,2017-11-06 23:56:39,0
114356,15,1,40,315,2017-11-08 22:53:53,1
310334,19,40,24,213,2017-11-09 04:09:21,1
146165,96,95,21,213,2017-11-07 08:44:25,1
88040,35,1,19,21,2017-11-07 02:52:33,1
182302,26,1,31,121,2017-11-08 02:40:05,0
26659,19,0,0,213,2017-11-09 14:48:05,1
30249,2,1,13,452,2017-11-09 09:43:12,0
29748,29,1,20,343,2017-11-09 02:52:23,1
119233,3,1,22,115,2017-11-07 00:56:31,0
187229,3,1,18,280,2017-11-07 00:48:25,0
8292,25,1,47,259,2017-11-09 14:12:05,0
362494,2,1,6,469,2017-11-08 20:56:04,1
73516,11,1,19,173,2017-11-08 17:02:44,1
125222,3,2,79,153,2017-11-09 11:31:44,0
291994,70,0,0,243,2017-11-09 14:19:24,1
120740,18,1,13,134,2017-11-07 07:00:29,0
7350,35,1,13,21,2017-11-07 00:25:48,1
194999,15,1,14,153,2017-11-07 05:13:57,0
27469,3,1,13,280,2017-11-09 04:12:01,0
353949,172,1,19,414,2017-11-09 07:22:50,1
3085,26,1,13,121,2017-11-09 10:08:08,0
55149,35,1,22,21,2017-11-08 02:52:21,1
163178,9,1,19,134,2017-11-06 16:05:51,0
301914,45,1,20,5,2017-11-09 12:20:33,1
40767,15,1,13,130,2017-11-08 01:59:59,0
75419,64,1,13,459,2017-11-07 02:40:24,0
262397,2,2,70,237,2017-11-07 18:00:48,0
77553,24,1,18,178,2017-11-08 22:02:22,0
12942,35,1,17,274,2017-11-07 01:39:53,1
147836,19,0,0,333,2017-11-09 02:42:51,1
77703,1,1,41,452,2017-11-08 23:12:24,0
50231,35,1,13,21,2017-11-07 03:15:56,1
92518,18,1,6,439,2017-11-07 14:17:09,0
86840,7,1,31,101,2017-11-09 03:56:07,0
105358,3,1,6,280,2017-11-08 04:53:40,0
286695,29,1,53,213,2017-11-08 12:57:35,1
133160,45,1,11,419,2017-11-07 06:38:13,1
350887,196,1,18,101,2017-11-09 07:40:12,1
5348,9,1,15,234,2017-11-08 09:30:12,0
115292,6,1,35,459,2017-11-09 01:27:25,0
269403,5,1,7,113,2017-11-08 09:33:13,1
72305,9,1,16,490,2017-11-09 08:31:58,0
177459,2,1,15,477,2017-11-07 19:27:44,0
141004,2,1,19,469,2017-11-07 14:34:20,1
44410,9,1,19,334,2017-11-07 13:57:37,0
360936,10,1,9,101,2017-11-09 07:09:24,1
171188,10,1,43,113,2017-11-07 07:46:02,1
3994,1,1,6,137,2017-11-08 07:07:41,0
12031,3,1,13,115,2017-11-08 11:35:14,0
214940,19,30,0,213,2017-11-08 13:50:12,1
20238,3,1,1,371,2017-11-07 00:54:22,0
182187,13,1,18,477,2017-11-07 05:13:25,0
249732,19,33,29,213,2017-11-08 13:35:58,1
52024,55,1,19,453,2017-11-08 04:18:35,1
137689,19,0,29,213,2017-11-07 13:08:58,1
150020,19,916,24,282,2017-11-07 10:02:10,1
113046,12,1,10,245,2017-11-07 03:18:30,0
76710,37,1,19,21,2017-11-09 06:27:18,1
252783,10,1,61,113,2017-11-09 07:25:05,1
26318,2,1,19,219,2017-11-06 22:38:13,0
99940,9,1,19,334,2017-11-08 01:09:36,0
260001,29,1,19,343,2017-11-08 01:01:09,1
342159,19,88,24,213,2017-11-08 20:33:41,1
97765,35,1,10,21,2017-11-08 23:41:52,1
230768,5,1,7,113,2017-11-08 13:07:17,1
337996,66,1,13,101,2017-11-09 01:09:02,1
3133,19,0,29,213,2017-11-09 13:29:16,1
86837,15,1,19,386,2017-11-09 07:31:52,1
16362,9,1,11,334,2017-11-09 01:48:17,0
87296,18,1,15,121,2017-11-07 00:53:41,0
197415,19,322,24,213,2017-11-08 08:36:27,1
58466,26,1,8,477,2017-11-09 06:21:16,0
95817,11,1,13,319,2017-11-07 06:09:37,1
204692,72,1,19,101,2017-11-07 10:55:42,1
53773,14,1,13,463,2017-11-09 00:20:17,0
87879,7,1,19,101,2017-11-09 05:52:34,1
151551,66,1,19,101,2017-11-07 12:56:36,1
136417,5,1,4,113,2017-11-07 11:01:41,1
351463,19,46,0,282,2017-11-09 12:01:40,1
116935,19,0,0,213,2017-11-09 01:59:37,1
163297,5,1,37,113,2017-11-07 04:43:30,1
279715,9,1,13,107,2017-11-09 01:41:52,1
225136,19,0,24,213,2017-11-08 13:35:28,1
54074,35,1,13,21,2017-11-08 06:19:54,1
58602,15,1,25,3,2017-11-09 15:00:20,0
5440,19,0,24,213,2017-11-07 00:40:12,1
67037,1,1,19,150,2017-11-07 12:16:44,0
32881,2,1,16,122,2017-11-07 04:13:14,0
191531,9,1,18,232,2017-11-08 00:43:52,0
58671,26,1,17,121,2017-11-09 12:47:46,0
29952,18,1,13,134,2017-11-09 10:23:29,0
18806,19,7,21,213,2017-11-07 14:51:20,1
7460,22,1,13,116,2017-11-07 08:40:51,0
135820,3,1,19,173,2017-11-09 00:07:20,0
97188,19,0,29,213,2017-11-07 08:00:54,1
248101,45,1,20,5,2017-11-08 05:22:20,1
85192,17,1,13,280,2017-11-08 02:44:18,0
14792,19,0,0,343,2017-11-07 14:14:30,1
23907,2,1,18,477,2017-11-07 12:35:22,0
43118,3,1,35,280,2017-11-09 04:51:55,0
62921,14,1,13,442,2017-11-08 04:21:41,0
114564,29,1,13,213,2017-11-09 09:00:06,1
48552,18,1,13,107,2017-11-08 01:39:58,0
54895,15,1,47,265,2017-11-09 04:07:03,0
28052,1,1,20,115,2017-11-07 04:07:16,0
356524,19,0,29,213,2017-11-09 10:59:07,1
106493,6,1,19,459,2017-11-08 16:59:14,0
114276,26,1,19,121,2017-11-08 15:59:35,0
240544,45,1,7,419,2017-11-09 05:36:28,1
119479,150,1,13,110,2017-11-07 04:26:00,0
116480,12,1,13,145,2017-11-09 06:04:57,0
351080,19,0,21,213,2017-11-09 02:18:05,1
95766,3,2,8,211,2017-11-09 14:11:40,1
93357,6,1,18,125,2017-11-08 16:19:44,0
47280,12,1,10,245,2017-11-07 16:45:40,0
125070,8,1,19,140,2017-11-09 05:30:13,1
33582,17,1,23,128,2017-11-09 15:21:03,0
71832,10,1,27,113,2017-11-09 07:23:51,1
145583,19,7,21,213,2017-11-07 03:07:04,1
151875,45,1,47,419,2017-11-07 07:37:27,1
73516,3,1,47,153,2017-11-09 15:22:10,0
316408,45,1,18,5,2017-11-09 06:40:23,1
55032,18,1,22,376,2017-11-07 08:30:31,0
149281,150,1,10,110,2017-11-07 02:43:37,0
85172,19,0,0,347,2017-11-07 00:56:00,1
236478,29,1,25,282,2017-11-08 12:18:51,1
193951,11,1,19,481,2017-11-06 23:09:19,1
333429,12,1,13,265,2017-11-09 11:47:16,0
273963,29,1,13,213,2017-11-08 10:31:37,1
301857,24,1,16,178,2017-11-09 15:24:39,0
43899,2,1,13,477,2017-11-08 01:53:39,0
106598,2,2,9,237,2017-11-08 15:34:51,0
98762,35,1,10,21,2017-11-09 02:36:59,1
348097,19,0,24,213,2017-11-08 22:36:32,1
209663,2,2,13,205,2017-11-07 12:33:21,0
279550,19,0,21,282,2017-11-08 15:20:14,1
113627,11,1,17,481,2017-11-07 00:27:39,1
79874,66,1,19,101,2017-11-06 17:08:12,1
198707,2,1,6,452,2017-11-07 13:21:07,0
106770,35,1,19,21,2017-11-07 12:14:52,1
81285,2,1,13,435,2017-11-08 05:23:28,0
4676,11,2,17,319,2017-11-07 10:41:23,0
305105,15,1,47,460,2017-11-09 05:14:13,1
29198,2,1,13,452,2017-11-07 15:45:46,0
27956,15,1,19,245,2017-11-07 16:16:10,0
57834,2,1,22,258,2017-11-08 05:12:41,0
222174,29,1,19,213,2017-11-08 10:42:39,1
77711,14,1,22,489,2017-11-06 23:07:11,1
85867,9,1,19,134,2017-11-08 23:49:03,0
30159,2,1,13,477,2017-11-07 22:05:55,0
49462,12,1,19,245,2017-11-07 06:50:34,0
115821,12,1,18,140,2017-11-07 15:14:45,0
20266,2,1,19,122,2017-11-09 03:51:35,0
6894,10,1,32,113,2017-11-09 08:30:14,1
164554,256,1,19,101,2017-11-07 13:01:44,1
201974,5,1,7,113,2017-11-07 10:57:03,1
156162,24,1,13,105,2017-11-07 10:57:02,0
190100,2,1,19,122,2017-11-09 09:00:14,0
27678,35,1,6,21,2017-11-07 02:37:56,1
48282,3,1,13,30,2017-11-09 14:19:42,0
198999,45,1,8,5,2017-11-07 08:54:03,1
66507,20,1,19,478,2017-11-07 09:51:31,0
5314,2,1,22,452,2017-11-09 15:52:33,0
81331,35,1,25,21,2017-11-07 01:37:10,1
104095,64,1,13,459,2017-11-08 15:37:28,0
44590,2,1,23,205,2017-11-07 05:22:20,0
49245,15,1,19,153,2017-11-07 08:34:09,0
62094,2,1,6,258,2017-11-08 16:16:17,0
112666,14,1,19,463,2017-11-07 05:49:38,0
90833,9,1,13,134,2017-11-09 00:00:42,0
190473,19,0,24,213,2017-11-06 23:16:24,1
89113,62,1,13,21,2017-11-07 10:35:01,1
53531,14,1,19,379,2017-11-09 05:03:25,0
136788,5,1,7,113,2017-11-09 12:32:30,1
84644,3,1,22,137,2017-11-07 13:15:55,0
103090,11,1,19,319,2017-11-09 03:04:45,1
346607,19,96,50,213,2017-11-09 13:10:39,1
202782,14,1,9,480,2017-11-08 04:31:46,0
191780,14,1,15,379,2017-11-08 14:45:28,0
151437,35,1,19,21,2017-11-08 05:33:10,1
30614,2,1,4,236,2017-11-09 03:36:48,0
92611,2,1,13,364,2017-11-07 15:29:48,0
105861,18,1,11,134,2017-11-07 12:19:02,0
6783,39,1,14,213,2017-11-09 07:01:36,1
207768,8,1,19,145,2017-11-09 09:39:07,0
167454,5,1,32,113,2017-11-07 10:16:53,1
44067,12,1,40,409,2017-11-08 07:06:00,0
120135,2,1,25,477,2017-11-08 17:52:02,0
16502,2,1,8,212,2017-11-06 17:42:58,0
321122,10,1,36,113,2017-11-09 07:09:21,1
120259,3,1,13,280,2017-11-09 06:46:47,1
29915,12,1,35,265,2017-11-08 10:16:25,0
145482,45,1,11,419,2017-11-07 00:34:20,1
40289,25,1,13,259,2017-11-07 04:19:31,0
100502,55,1,13,453,2017-11-08 03:46:57,1
72416,27,1,19,153,2017-11-08 01:02:01,0
174894,3,1,19,280,2017-11-07 05:34:29,1
322824,10,1,19,332,2017-11-09 02:13:21,1
24005,35,1,13,274,2017-11-07 12:36:04,1
34980,9,1,19,445,2017-11-08 12:58:26,1
114220,19,0,50,347,2017-11-09 01:35:53,1
37892,3,1,6,280,2017-11-09 03:51:12,0
219711,11,1,13,219,2017-11-09 06:05:11,0
105475,7,1,19,101,2017-11-09 13:00:16,0
77821,11,1,19,481,2017-11-09 08:01:26,1
64936,18,1,19,134,2017-11-09 09:33:05,0
193141,10,1,61,113,2017-11-07 02:37:48,1
45157,19,16,0,213,2017-11-08 11:24:55,1
14810,35,1,13,274,2017-11-08 10:43:01,1
203293,35,1,13,21,2017-11-09 06:56:07,1
110237,3,1,17,115,2017-11-09 02:48:09,0
198699,15,1,19,3,2017-11-07 05:33:06,0
35466,12,1,22,245,2017-11-08 13:47:25,0
221816,19,0,24,213,2017-11-08 03:48:52,1
105560,8,1,19,145,2017-11-08 17:08:33,1
93664,19,0,24,213,2017-11-09 03:21:01,1
245608,10,1,10,203,2017-11-08 14:29:14,1
203269,19,0,24,213,2017-11-07 13:55:12,1
81935,12,1,22,259,2017-11-08 12:22:31,0
304955,29,1,19,213,2017-11-08 20:10:06,1
9624,35,1,13,21,2017-11-08 01:29:36,1
364103,19,21,24,333,2017-11-09 12:38:54,1
80455,29,1,13,210,2017-11-08 03:25:57,1
27984,15,1,13,386,2017-11-09 12:01:18,0
364140,19,16,0,213,2017-11-09 12:35:15,1
73487,9,2,13,448,2017-11-09 11:42:19,0
356066,19,21,24,213,2017-11-09 15:32:32,1
96903,15,1,3,245,2017-11-09 04:34:10,1
133031,35,1,22,274,2017-11-07 07:55:16,1
278036,45,1,15,5,2017-11-08 05:20:31,1
76571,12,1,8,259,2017-11-09 03:51:15,0
96208,35,1,22,274,2017-11-09 07:47:28,1
314680,230,0,29,243,2017-11-09 03:21:08,1
140766,72,1,35,101,2017-11-07 02:09:32,1
96165,35,1,19,274,2017-11-08 12:39:28,1
43308,29,1,13,213,2017-11-09 08:51:25,1
31385,12,1,6,245,2017-11-07 07:55:25,0
110363,6,1,35,459,2017-11-09 10:43:56,0
279832,72,1,22,101,2017-11-08 05:23:46,1
181695,24,1,11,105,2017-11-07 00:59:33,0
11011,3,1,35,424,2017-11-07 14:26:25,0
33918,11,1,22,319,2017-11-07 08:55:33,0
152544,5,1,10,113,2017-11-06 22:19:07,1
81356,1,1,9,24,2017-11-09 15:49:53,0
302400,14,1,19,467,2017-11-08 16:11:13,1
298355,19,537,24,282,2017-11-09 04:36:11,1
80286,14,1,19,463,2017-11-07 05:27:40,0
48062,2,1,10,469,2017-11-06 18:18:30,0
90492,12,1,25,340,2017-11-09 13:37:30,0
242406,15,1,19,245,2017-11-08 06:15:38,0
73305,18,1,40,107,2017-11-07 10:53:18,0
65785,3,1,19,115,2017-11-08 02:04:16,0
251975,3,1,27,489,2017-11-08 08:37:00,0
363623,45,1,9,5,2017-11-09 12:05:15,1
57642,3,1,19,280,2017-11-09 06:44:54,0
291766,19,0,24,213,2017-11-08 19:15:49,1
123994,9,2,49,334,2017-11-07 01:39:49,0
108341,3,1,10,280,2017-11-08 12:11:46,0
146691,11,1,16,319,2017-11-07 14:20:05,0
166487,18,1,49,376,2017-11-07 06:00:24,0
46573,35,1,8,21,2017-11-09 12:24:39,1
11716,2,1,19,212,2017-11-07 15:18:19,0
215020,45,1,37,419,2017-11-08 20:28:18,1
60815,9,1,19,442,2017-11-07 15:58:53,0
116012,9,1,19,334,2017-11-09 00:33:45,0
48658,3,1,13,280,2017-11-08 09:10:34,0
222895,27,1,37,332,2017-11-08 06:48:14,1
53964,55,1,19,453,2017-11-09 08:04:28,1
32115,9,1,19,134,2017-11-09 00:02:44,1
67237,21,1,19,232,2017-11-09 09:35:58,0
25553,14,1,13,439,2017-11-07 11:03:16,0
72951,12,1,1,277,2017-11-07 00:45:15,0
181156,28,1,18,135,2017-11-06 17:01:39,0
160110,1,1,10,125,2017-11-09 00:14:59,0
344782,10,1,32,113,2017-11-09 08:41:20,1
211856,10,1,30,113,2017-11-07 05:25:14,1
49310,15,1,13,480,2017-11-07 00:36:30,0
174815,19,0,24,213,2017-11-09 00:32:09,1
1890,26,1,56,121,2017-11-07 15:32:40,0
234901,18,1,19,107,2017-11-08 13:41:54,0
115472,9,1,19,134,2017-11-08 02:45:29,0
23203,11,1,19,219,2017-11-08 00:31:53,0
82024,9,1,22,466,2017-11-08 08:57:53,0
71035,3,1,19,409,2017-11-07 13:18:04,0
230344,3,1,19,489,2017-11-07 16:06:03,0
5314,10,1,19,317,2017-11-09 13:07:20,1
121145,21,1,15,232,2017-11-07 12:09:51,0
114734,3,1,18,205,2017-11-09 01:53:16,0
204363,9,1,13,244,2017-11-08 04:34:20,0
119614,14,1,10,439,2017-11-06 23:23:42,0
24935,9,1,6,334,2017-11-08 12:48:06,0
44546,15,1,23,245,2017-11-08 14:24:48,0
116871,21,1,18,128,2017-11-07 04:29:36,0
194150,10,1,32,113,2017-11-07 05:34:16,1
64330,19,95,21,213,2017-11-09 04:25:54,1
301474,45,1,37,465,2017-11-09 11:18:15,1
264951,12,1,19,205,2017-11-08 06:45:15,0
340765,29,1,18,213,2017-11-09 13:28:04,1
5761,15,1,22,245,2017-11-09 04:55:34,0
95111,7,1,9,101,2017-11-07 11:10:27,0
74268,3,1,19,409,2017-11-07 02:09:21,0
143575,10,1,27,113,2017-11-07 08:28:16,1
253454,3,1,41,115,2017-11-07 16:14:09,0
178582,3,1,15,213,2017-11-06 16:06:37,1
3795,2,1,15,237,2017-11-08 07:43:57,0
114490,19,0,24,213,2017-11-08 14:20:10,1
287798,72,1,17,101,2017-11-09 10:28:11,1
202420,2,1,19,219,2017-11-07 01:24:13,0
236727,9,1,19,232,2017-11-08 15:22:25,1
101848,18,1,13,107,2017-11-09 00:02:42,0
208646,3,1,19,19,2017-11-08 11:18:07,0
120982,3,1,16,135,2017-11-08 08:42:26,1
2235,15,2,28,245,2017-11-09 03:36:58,0
170761,3,1,22,442,2017-11-07 14:35:29,0
209059,3,1,49,280,2017-11-08 11:52:17,0
71510,18,1,20,134,2017-11-08 05:27:39,0
72131,17,1,13,280,2017-11-08 03:43:55,0
256670,2,1,25,477,2017-11-08 12:01:56,0
278991,19,0,24,347,2017-11-08 01:58:17,1
106712,18,1,9,134,2017-11-08 15:39:22,0
159245,29,2,17,101,2017-11-07 13:00:59,1
7813,9,1,19,127,2017-11-09 12:26:13,1
25110,41,3866,866,347,2017-11-08 20:42:50,0
357892,29,1,16,343,2017-11-09 15:24:45,1
82171,18,1,6,134,2017-11-09 05:57:25,0
54632,18,1,17,107,2017-11-08 16:03:25,0
120902,35,1,10,274,2017-11-08 03:03:36,1
325830,18,1,27,376,2017-11-09 06:16:09,1
172076,29,1,18,213,2017-11-07 12:54:06,1
229554,72,1,19,101,2017-11-08 15:06:05,1
124485,9,1,18,445,2017-11-08 15:52:21,0
67467,9,1,13,234,2017-11-08 19:04:31,0
256474,27,1,37,332,2017-11-08 11:36:34,1
27557,19,0,24,213,2017-11-06 23:05:56,1
113427,23,1,16,153,2017-11-07 14:07:40,0
198613,72,1,13,101,2017-11-07 08:09:43,1
53964,3,1,11,115,2017-11-09 15:53:16,0
3828,35,1,17,21,2017-11-08 02:27:50,1
39453,2,1,17,219,2017-11-09 09:35:54,0
197271,19,0,0,347,2017-11-09 08:43:32,1
87907,12,2,13,178,2017-11-07 15:33:33,0
137832,2,1,13,317,2017-11-08 11:45:24,0
74013,35,1,19,21,2017-11-07 06:50:50,1
86767,37,1,22,213,2017-11-07 17:36:33,1
254648,5,1,36,113,2017-11-08 11:15:02,1
124001,9,1,13,466,2017-11-08 17:00:09,1
318817,29,1,15,213,2017-11-08 22:53:09,1
161625,2,1,17,469,2017-11-08 00:15:24,0
32098,13,1,49,477,2017-11-07 14:50:56,0
16478,35,1,19,274,2017-11-08 03:08:42,1
346203,29,1,20,213,2017-11-09 11:52:15,1
304911,35,1,19,21,2017-11-09 02:51:38,1
55207,35,1,15,21,2017-11-07 03:32:07,1
362246,19,0,24,213,2017-11-09 15:42:00,1
58453,12,1,25,105,2017-11-07 13:57:52,0
77809,9,2,3,445,2017-11-07 04:53:06,0
244482,190,1,20,101,2017-11-08 11:32:28,1
336929,3,1,8,182,2017-11-08 18:06:41,1
89330,29,1,19,343,2017-11-09 10:08:34,1
212619,12,1,19,259,2017-11-09 07:51:06,0
70335,15,1,17,245,2017-11-07 11:37:47,0
15195,3,1,27,114,2017-11-07 07:12:35,1
40688,10,1,4,113,2017-11-07 13:34:11,1
99474,35,1,19,21,2017-11-09 02:56:05,1
114597,27,1,19,153,2017-11-07 09:51:51,0
233020,83,0,38,171,2017-11-08 12:49:16,1
284093,27,1,37,280,2017-11-08 03:14:06,1
341181,10,1,61,113,2017-11-09 11:14:52,1
192970,18,1,13,107,2017-11-08 13:26:48,0
44005,158,182,116,455,2017-11-07 15:22:18,0
176114,190,1,25,101,2017-11-07 10:31:49,1
58203,3,1,19,452,2017-11-08 10:04:46,0
23682,12,1,19,245,2017-11-07 13:29:54,0
84774,19,1114,24,282,2017-11-09 12:09:50,1
158839,18,1,6,107,2017-11-07 03:07:58,1
37458,3,1,8,280,2017-11-07 01:18:59,0
364075,167,1,23,213,2017-11-09 07:41:19,1
66723,58,3543,748,347,2017-11-08 08:46:24,0
111025,11,1,13,325,2017-11-07 11:06:47,0
63137,1,1,19,178,2017-11-07 05:12:40,0
91809,19,0,0,213,2017-11-08 06:00:38,1
1000,6,1,13,459,2017-11-07 15:50:06,0
126648,5,1,8,113,2017-11-06 16:06:45,1
16952,18,1,19,107,2017-11-09 09:24:04,0
57759,9,1,22,234,2017-11-08 16:22:47,0
234191,10,1,30,113,2017-11-08 09:33:34,1
35472,27,1,1,153,2017-11-07 12:20:30,0
312044,72,1,8,101,2017-11-09 09:54:45,1
259444,45,1,13,5,2017-11-08 11:23:34,1
164251,10,1,17,113,2017-11-07 17:36:55,1
211120,3,1,8,280,2017-11-07 03:35:08,0
100275,3,1,13,280,2017-11-07 12:05:01,0
146433,19,0,0,213,2017-11-07 01:31:36,1
244723,107,1,13,171,2017-11-08 03:36:19,1
327046,19,0,24,213,2017-11-09 00:15:30,1
31778,15,1,13,111,2017-11-09 06:15:47,0
260575,45,1,18,5,2017-11-08 05:58:21,1
50509,3,1,53,402,2017-11-08 11:01:56,0
305102,19,106,21,282,2017-11-09 13:53:58,1
67614,18,1,13,376,2017-11-09 01:35:42,0
306654,8,1,18,145,2017-11-08 23:20:39,1
174555,5,1,32,113,2017-11-07 05:54:01,1
63698,2,1,17,237,2017-11-09 04:38:39,0
87803,35,1,19,274,2017-11-08 07:04:20,1
187319,14,1,19,439,2017-11-08 09:41:27,0
51901,23,1,22,153,2017-11-08 04:18:44,0
318478,12,1,13,205,2017-11-09 04:53:32,0
151725,18,1,19,439,2017-11-07 04:12:42,1
29072,3,1,63,371,2017-11-09 09:14:05,0
102700,18,1,17,107,2017-11-07 00:13:33,0
60850,15,1,46,315,2017-11-07 09:08:49,0
53454,19,0,21,213,2017-11-08 01:54:54,1
56063,82,1,13,21,2017-11-08 17:52:21,1
108560,124,1,10,213,2017-11-07 11:53:07,1
14737,12,1,17,328,2017-11-09 15:33:29,0
196930,29,1,19,101,2017-11-07 12:58:16,1
19060,12,1,13,242,2017-11-07 01:17:55,0
349231,10,1,30,113,2017-11-09 04:41:22,1
5147,20,1,10,259,2017-11-09 02:59:08,1
146844,19,0,24,213,2017-11-07 14:31:07,1
206333,10,1,27,113,2017-11-07 06:32:40,1
127953,20,1,19,259,2017-11-07 12:18:39,0
241008,29,1,19,213,2017-11-08 12:19:13,1
77593,35,1,19,274,2017-11-08 00:45:05,1
